sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site	potential_outlier	not_outlier
Metab_183	0.5463844229349815	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass	NA	48
Metab_186	0.49109525962283473	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi	NA	47
Metab_189	0.5617532913903606	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass	NA	52
Metab_222	0.534367668415788	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi	NA	76
Metab_225	0.48789429846898935	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi	NA	78
Metab_227	0.49281956376944447	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite	44	NA
Metab_228	0.49354888142738296	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi	NA	38
Metab_230	0.49453387160081447	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi	NA	46
Metab_234	0.4882607109475709	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite	NA	77
Metab_236	0.5226254071162761	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite	43	NA
Metab_237	0.5194628064831448	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass	NA	37
Metab_239	0.4903252422682203	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi	NA	45
Metab_240	0.5130784591013215	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass	NA	41
Metab_241	0.5270538375477034	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite	NA	79
Metab_261	0.4906525055876507	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite	NA	93
Metab_264	0.5045206434733406	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite	NA	90
Metab_266	0.48893035384411043	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite	NA	72
Metab_267	0.5016922774245659	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi	NA	97
Metab_269	0.49750596504972033	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi	71	NA
Metab_270	0.4960656002308267	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite	NA	98
Metab_271	0.49969272040248985	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi	67	NA
Metab_272	0.5186749658468998	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass	NA	57
Metab_273	0.49276992508834505	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass	NA	99
Metab_274	0.49177299523289275	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi	69	NA
Metab_275	0.489592873727262	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite	NA	62
Metab_276	0.48751118977024493	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi	NA	91
Metab_277	0.48990669957563593	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite	NA	64
Metab_278	0.48858259583248814	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite	NA	58
Metab_279	0.5249260746121851	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass	NA	95
Metab_281	0.5255956277240273	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass	NA	63
Metab_282	0.5095197010760517	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass	NA	100
Metab_283	0.49362950720630233	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite	NA	68
Metab_284	0.4944425737535347	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi	NA	53
Metab_285	0.49986014276216684	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi	NA	96
Metab_286	0.5323528225231766	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass	70	NA
Metab_287	0.5418458285670459	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass	NA	54
Metab_289	0.5496859776790342	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass	74	NA
Metab_290	0.5117883339169047	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite	NA	56
Metab_292	0.49347920965513153	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi	NA	61
Metab_295	0.49896763725765403	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi	NA	55
Metab_303	0.49476982133939057	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi	NA	107
Metab_306	0.48633114431119984	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi	NA	111
Metab_308	0.5132598016264668	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi	NA	113
Metab_309	0.5312248948463909	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass	NA	109
Metab_311	0.5897386177222755	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite	NA	115
Metab_312	0.4984887955042707	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite	101	NA
Metab_313	0.4850503576280903	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi	NA	80
Metab_314	0.543650150643872	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite	NA	116
Metab_315	0.4953620841935227	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite	108	NA
Metab_316	0.49337562798380985	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite	NA	84
Metab_317	0.49014480702499025	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi	NA	114
Metab_318	0.5166581783430909	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass	NA	110
Metab_319	0.5277848195454254	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite	NA	81A
Metab_320	0.5239953062468011	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite	NA	112
Metab_321	0.5000958501574015	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite	NA	104
Metab_322	0.510152022557804	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite	NA	75
Metab_323	0.48743917453736885	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi	NA	118
Metab_324	0.506425741082263	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass	NA	103
Metab_325	0.505634664796668	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi	NA	86
Metab_326	0.5211225447524	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass	NA	117
Metab_327	0.4892941020695475	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi	NA	102
Metab_328	0.5174722706744602	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass	NA	87
Metab_329	0.48468261122480033	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass	NA	119
Metab_331	0.48947796515606623	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi	NA	82
Metab_332	0.4871877680802283	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass	NA	120
Metab_334	0.5236518066838963	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass	NA	83
Metab_337	0.51188943114152885	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass	NA	85
Metab_219	0.5525087975837485	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass	NA	81B
Metab_224	0.4933835323005809	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite	42	NA
Metab_231	0.49556703656754064	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite	NA	36
Metab_233	0.5395235735441245	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass	NA	49
