metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
CINAR_BC_100	0.13493658512853418	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass
CINAR_BC_85	0.0999343799444531	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass
CINAR_BC_99	0.11883375245003898	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass
CINAR_BC_88	0.10150432095810638	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass
CINAR_BC_70	0.07531574160335065	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass
CINAR_BC_52	0.08739600310480654	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass
CINAR_BC_103	0.09878178200309179	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass
CINAR_BC_63	0.10478925460954047	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass
CINAR_BC_95	0.1326790361862126	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass
CINAR_BC_83	0.09101810723620006	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass
CINAR_BC_109	0.21964050949943695	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass
CINAR_BC_119	0.10770026541874347	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass
CINAR_BC_49	0.10275637329424567	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass
CINAR_BC_117	0.19241064118020884	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass
CINAR_BC_37	0.07731377759878298	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass
CINAR_BC_41	0.09039398052999771	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass
CINAR_BC_81B	0.10527474210030034	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass
CINAR_BC_110	0.1691739926070441	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass
CINAR_BC_74	0.10539054389419111	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass
CINAR_BC_57	0.10084385209549372	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass
CINAR_BC_48	0.10260648377463978	Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass
CINAR_BC_54	0.0700672768484821	Metab_287	seawater	20210124	dawn	Day3	LB_seagrass
CINAR_BC_120	0.13108883451116643	Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass
CINAR_BC_77	0.2400191138497964	Metab_234	seawater	20210123	dawn	Day2	Tektite
CINAR_BC_98	0.3539291462018306	Metab_270	seawater	20210125	peak_photo	Day4	Tektite
CINAR_BC_101	0.2264073935133374	Metab_312	seawater	20210126	dawn	Day5	Tektite
CINAR_BC_90	0.19574078072211962	Metab_264	seawater	20210125	peak_photo	Day4	Tektite
CINAR_BC_72	0.2545213521649639	Metab_266	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_93	0.22045067353233863	Metab_261	seawater	20210125	peak_photo	Day4	Tektite
CINAR_BC_84	0.22252442607846434	Metab_316	seawater	20210125	dawn	Day4	Tektite
CINAR_BC_42	0.2354788953366125	Metab_224	seawater	20210123	peak_photo	Day2	Tektite
CINAR_BC_43	0.276999145978104	Metab_236	seawater	20210123	peak_photo	Day2	Tektite
CINAR_BC_75	0.20994697460929382	Metab_322	seawater	20210125	dawn	Day4	Tektite
CINAR_BC_79	0.36101594203478304	Metab_241	seawater	20210123	dawn	Day2	Tektite
CINAR_BC_68	0.21640181644467726	Metab_283	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_66	0.2579076554527153	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_105	0.2638414747713448	Metab_321	seawater	20210126	dawn	Day5	Tektite
CINAR_BC_116	0.2192774969214592	Metab_314	seawater	20210126	peak_photo	Day5	Tektite
CINAR_BC_115	0.213446336434475	Metab_311	seawater	20210126	peak_photo	Day5	Tektite
CINAR_BC_112	0.28180342329730107	Metab_320	seawater	20210126	peak_photo	Day5	Tektite
CINAR_BC_108	0.23485528003554526	Metab_315	seawater	20210126	dawn	Day5	Tektite
CINAR_BC_62	0.28377063328320756	Metab_275	seawater	20210124	dawn	Day3	Tektite
CINAR_BC_36	0.33011603698349107	Metab_231	seawater	20210123	dawn	Day2	Tektite
CINAR_BC_65	0.26099691936159597	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_60	0.19093570035636495	Metab_278	seawater	20210124	dawn	Day3	Tektite
CINAR_BC_56	0.3928629588865717	Metab_290	seawater	20210124	dawn	Day3	Tektite
CINAR_BC_44	0.28324963024024685	Metab_227	seawater	20210123	peak_photo	Day2	Tektite
CINAR_BC_81A	0.2098508260194674	Metab_319	seawater	20210125	dawn	Day4	Tektite
CINAR_BC_45	0.14099506976196402	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi
CINAR_BC_69	0.2742764176137973	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi
CINAR_BC_71	0.1765325288594899	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi
CINAR_BC_50	0.14532544679892387	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi
CINAR_BC_67	0.2979712597709479	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi
CINAR_BC_118	0.3150951700748392	Metab_323	seawater	20210126	peak_photo	Day5	Yawzi
CINAR_BC_113	0.29454174900817387	Metab_308	seawater	20210126	peak_photo	Day5	Yawzi
CINAR_BC_111	0.15559135226338164	Metab_306	seawater	20210126	dawn	Day5	Yawzi
CINAR_BC_102	0.24303260907011587	Metab_327	seawater	20210126	dawn	Day5	Yawzi
CINAR_BC_86	0.13641257679393018	Metab_325	seawater	20210125	dawn	Day4	Yawzi
CINAR_BC_61	0.17869702063784504	Metab_292	seawater	20210124	dawn	Day3	Yawzi
CINAR_BC_39	0.14249945068524084	Metab_228	seawater	20210123	dawn	Day2	Yawzi
CINAR_BC_96	0.1545707683489971	Metab_285	seawater	20210125	peak_photo	Day4	Yawzi
CINAR_BC_97	0.3334011058344306	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi
CINAR_BC_107	0.14440444987845039	Metab_303	seawater	20210126	dawn	Day5	Yawzi
CINAR_BC_55	0.17111267237682593	Metab_295	seawater	20210124	dawn	Day3	Yawzi
CINAR_BC_91	0.15918175786973177	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi
CINAR_BC_78	0.13900395032503646	Metab_225	seawater	20210123	dawn	Day2	Yawzi
CINAR_BC_82	0.14292131898638918	Metab_331	seawater	20210125	dawn	Day4	Yawzi
CINAR_BC_114	0.1864515211962763	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi
CINAR_BC_40	0.1434901019298911	Metab_228	seawater	20210123	dawn	Day2	Yawzi
CINAR_BC_46	0.3084139125872757	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi
CINAR_BC_80	0.14241024832055194	Metab_313	seawater	20210125	dawn	Day4	Yawzi
CINAR_BC_53	0.16608528750990867	Metab_284	seawater	20210124	dawn	Day3	Yawzi
CINAR_BC_76	0.262467067991864	Metab_222	seawater	20210123	dawn	Day2	Yawzi
