asv_id	Yawzi_peak_photo - LB_seagrass	dawn (Yawzi - LB_seagrass)	dawn (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	LB_seagrass (peak_photo - dawn)	dawn (Yawzi - Tektite)	peak_photo (Yawzi - Tektite)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	Yawzi_dawn - LB_seagrass_dawn	Tektite_peak_photo - LB_seagrass	Tektite_dawn - LB_seagrass_dawn	Yawzi_dawn - LB_seagrass	Tektite_dawn - LB_seagrass	Tektite_peak_photo - LB_seagrass_peak_photo	Yawzi_peak_photo - LB_seagrass_peak_photo	test_type	taxonomy	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00001	deseq																	deseq	Cyanobacteria;Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	
ASV_00002		corncob	corncob	corncob	corncob	corncob												corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00003		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Alphaproteobacteria;HIMB11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
ASV_00004		corncob	corncob	corncob	corncob		corncob											corncob	Bacteroidia;NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	
ASV_00005		corncob	corncob	corncob	corncob	corncob												corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00006		corncob	corncob	corncob	corncob		corncob											corncob	Bacteroidia;Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae		
ASV_00007		corncob	corncob	corncob	corncob		corncob											corncob	Cyanobacteria;Prochlorococcus MIT9313	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	marinus
ASV_00008	deseq	corncob	corncob	corncob	corncob													all	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00009		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Bacteroidia;Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
ASV_00010		corncob	corncob	corncob	corncob	corncob	corncob		corncob									corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00011		corncob	corncob	corncob	corncob													corncob	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00012		corncob	corncob	corncob	corncob	corncob												corncob	Alphaproteobacteria;SAR11 Clade II	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
ASV_00013		corncob	corncob	corncob	corncob													corncob	Acidimicrobia;Candidatus Actinomarina	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	
ASV_00014		corncob	corncob	corncob	corncob													corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00015		corncob	corncob		corncob													corncob	Alphaproteobacteria;SAR116 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
ASV_00016		corncob	corncob	corncob	corncob		corncob											corncob	Acidimicrobia;Candidatus Actinomarina	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	
ASV_00017		corncob	corncob	corncob	corncob													corncob	Alphaproteobacteria;AEGEAN-169 marine group	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group		
ASV_00018		corncob	corncob	corncob	corncob					corncob								corncob	Verrucomicrobiae;Coraliomargarita	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	
ASV_00019		corncob	corncob															corncob	Bacteroidia;NS2b marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	
ASV_00020		corncob	corncob	corncob	corncob													corncob	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00021		corncob	corncob	corncob							deseq							all	Alphaproteobacteria;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_00022		corncob	corncob	corncob	corncob													corncob	Cyanobacteria;Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	
ASV_00023		corncob	corncob	corncob	corncob	corncob	corncob	corncob	corncob									corncob	Alphaproteobacteria;SAR11 Clade Ib	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	
ASV_00024		corncob	corncob	corncob	corncob		corncob		corncob									corncob	Alphaproteobacteria;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_00025		corncob	corncob	corncob	corncob													corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00026		corncob	corncob	corncob	corncob				corncob									corncob	Alphaproteobacteria;AEGEAN-169 marine group	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group		
ASV_00027		corncob	corncob	corncob	corncob				corncob									corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00029		corncob	corncob	corncob	corncob													corncob	Alphaproteobacteria;SAR116 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
ASV_00030			corncob	corncob	corncob													corncob	Cyanobacteria;Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	
ASV_00031		corncob	corncob	corncob	corncob													corncob	Bacteria;Marinimicrobia (SAR406 clade)	Bacteria	Marinimicrobia (SAR406 clade)					
ASV_00032		corncob	corncob	corncob	corncob		corncob		corncob									corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00034			corncob		corncob													corncob	Cyanobacteria;Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	
ASV_00035		corncob	corncob	corncob	corncob		corncob	corncob	corncob		deseq							all	Alphaproteobacteria;SAR11 Clade Ib	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	
ASV_00036		corncob	corncob	corncob	corncob		corncob											corncob	Bacteroidia;NS9 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group		
ASV_00037		corncob	corncob	corncob	corncob		corncob					deseq	deseq					all	Alphaproteobacteria;SAR11 Clade II	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
ASV_00038		corncob	corncob	corncob	corncob		corncob		corncob									corncob	Bacteroidia;Formosa	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	
ASV_00039		corncob	corncob	corncob				corncob						deseq				all	Alphaproteobacteria;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_00040		corncob	corncob				corncob											corncob	Gammaproteobacteria;OM60(NOR5) clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	
ASV_00041		corncob	corncob	corncob														corncob	Gammaproteobacteria;OM60(NOR5) clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	
ASV_00043		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00044		corncob	corncob	corncob														corncob	Gammaproteobacteria;OM60(NOR5) clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	
ASV_00045		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Bacteroidia;NS7 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group		
ASV_00046		corncob	corncob	corncob	corncob				corncob		deseq							all	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00047		corncob	corncob	corncob	corncob		corncob	corncob										corncob	Bacteroidia;NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	
ASV_00048		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00049		corncob	corncob	corncob	corncob				corncob									corncob	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00050		corncob	corncob	corncob	corncob													corncob	Alphaproteobacteria;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_00052		corncob	corncob	corncob	corncob													corncob	Alphaproteobacteria;SAR116 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
ASV_00053		corncob		corncob	corncob													corncob	Phycisphaerae;Urania-1B-19 marine sediment group	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	
ASV_00055		corncob	corncob	corncob	corncob				corncob									corncob	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00057			corncob	corncob	corncob													corncob	Thermoplasmata;Marine Group II	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II			
ASV_00058		corncob	corncob	corncob	corncob													corncob	Acidimicrobia;Sva0996 marine group	Bacteria	Actinobacteriota	Acidimicrobia	Microtrichales	Microtrichaceae	Sva0996 marine group	
ASV_00059		corncob	corncob	corncob	corncob		corncob											corncob	Alphaproteobacteria;Ascidiaceihabitans	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	
ASV_00060		corncob																corncob	Alphaproteobacteria;Litorimicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litorimicrobium	
ASV_00063		corncob	corncob	corncob	corncob													corncob	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00064		corncob	corncob						corncob		deseq							all	Alphaproteobacteria;Stappiaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae		
ASV_00065		corncob		corncob								deseq						all	Gammaproteobacteria;OM60(NOR5) clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	
ASV_00066		corncob	corncob															corncob	Cyanobacteria;Cyanobium PCC-6307	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	
ASV_00067				corncob				corncob										corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00068		corncob	corncob	corncob				corncob										corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00069	deseq	corncob		corncob														all	Bacteroidia;Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae		
ASV_00070		corncob		corncob	corncob													corncob	Bacteria;Marinimicrobia (SAR406 clade)	Bacteria	Marinimicrobia (SAR406 clade)					
ASV_00071		corncob	corncob	corncob	corncob		corncob											corncob	Bacteroidia;NS9 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group		
ASV_00072		corncob	corncob	corncob	corncob		corncob		corncob									corncob	Alphaproteobacteria;SAR11 Clade IV	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade IV		
ASV_00073		corncob	corncob	corncob	corncob			corncob										corncob	Bacteroidia;NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	
ASV_00074	deseq	corncob	corncob	corncob			corncob	corncob	corncob		deseq							all	Bacteroidia;Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae		
ASV_00075		corncob					corncob	corncob					deseq		deseq			all	Bacteroidia;NS2b marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	
ASV_00077	deseq			corncob				corncob										all	Alphaproteobacteria;SAR116 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
ASV_00079		corncob	corncob	corncob	corncob													corncob	Alphaproteobacteria;SAR116 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
ASV_00080		corncob		corncob			corncob											corncob	Rhodothermia;Balneola	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	
ASV_00082								corncob	corncob									corncob	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00083		corncob	corncob	corncob	corncob		corncob	corncob		corncob								corncob	Alphaproteobacteria;SAR11 Clade Ib	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	
ASV_00084					corncob											deseq		all	Bacteroidia;Marinoscillum	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	
ASV_00085	deseq			corncob			corncob	corncob	corncob									all	Alphaproteobacteria;SAR11 Clade Ib	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	
ASV_00086		corncob	corncob	corncob									deseq					all	Thermoplasmata;Marine Group II	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II			
ASV_00087		corncob	corncob	corncob	corncob		corncob											corncob	Alphaproteobacteria;Stappiaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae		
ASV_00088		corncob	corncob	corncob				corncob										corncob	Alphaproteobacteria;SAR116 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
ASV_00091											deseq							deseq	Cyanobacteria;Prochlorococcus MIT9313	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	
ASV_00093		corncob	corncob	corncob	corncob													corncob	Alphaproteobacteria;Defluviicoccales	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales			
ASV_00094	deseq			corncob				corncob			deseq							all	Cyanobacteria;Cyanobiaceae	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae		
ASV_00095		corncob	corncob	corncob	corncob			corncob	corncob									corncob	Bacteroidia;Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
ASV_00096		corncob	corncob	corncob	corncob		corncob											corncob	Gammaproteobacteria;KI89A clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade		
ASV_00097		corncob	corncob	corncob	corncob		corncob	corncob										corncob	Bacteroidia;Tenacibaculum	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	
ASV_00098		corncob	corncob	corncob	corncob													corncob	Thermoplasmata;Marine Group II	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II			
ASV_00100				corncob				corncob	corncob									corncob	Acidimicrobia;Candidatus Actinomarina	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	
ASV_00101		corncob	corncob	corncob	corncob		corncob		corncob									corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00102				corncob			corncob	corncob										corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00103		corncob	corncob	corncob	corncob							deseq						all	Alphaproteobacteria;PS1 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade		
ASV_00104		corncob	corncob	corncob	corncob			corncob										corncob	Bacteroidia;NS9 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group		
ASV_00105		corncob	corncob	corncob														corncob	Gammaproteobacteria;Marinobacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	
ASV_00107	deseq	corncob		corncob	corncob	corncob	corncob	corncob	corncob									all	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00109		corncob		corncob			corncob	corncob										corncob	Bacteroidia;NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	
ASV_00110				corncob				corncob	corncob				deseq					all	Alphaproteobacteria;SAR11 Clade II	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
ASV_00111		corncob	corncob	corncob	corncob		corncob		corncob									corncob	Gammaproteobacteria;Pseudomonadales	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales			
ASV_00112		corncob																corncob	Bacteroidia;Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae		
ASV_00113	deseq			corncob				corncob										all	Alphaproteobacteria;AEGEAN-169 marine group	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group		
ASV_00114				corncob														corncob	Alphaproteobacteria;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_00115			corncob								deseq			deseq				all	Cyanobacteria;Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	
ASV_00116		corncob	corncob		corncob													corncob	Alphaproteobacteria;SAR116 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade		
ASV_00117		corncob					corncob											corncob	Alphaproteobacteria;PS1 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade		
ASV_00118		corncob		corncob			corncob	corncob										corncob	Bacteroidia;NS2b marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	
ASV_00119		corncob	corncob															corncob	Gammaproteobacteria;SAR92 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	
ASV_00120		corncob	corncob	corncob			corncob	corncob					deseq					all	Alphaproteobacteria;PS1 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade		
ASV_00121		corncob		corncob				corncob										corncob	Cyanobacteria;Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	
ASV_00122		corncob	corncob	corncob	corncob				corncob									corncob	Bacteroidia;Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
ASV_00123		corncob	corncob	corncob	corncob		corncob											corncob	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00124		corncob	corncob	corncob	corncob		corncob		corncob									corncob	Bacteroidia;NS11-12 marine group	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group		
ASV_00125		corncob	corncob	corncob				corncob					deseq					all	Alphaproteobacteria;SAR11 Clade III	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III		
ASV_00126							corncob										deseq	all	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00128		corncob	corncob	corncob						corncob								corncob	Alphaproteobacteria;AEGEAN-169 marine group	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group		
ASV_00129		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Gammaproteobacteria;Ectothiorhodospiraceae	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae		
ASV_00130		corncob	corncob	corncob														corncob	Gammaproteobacteria;OM182 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade		
ASV_00131		corncob	corncob	corncob	corncob													corncob	Alphaproteobacteria;Thalassobius	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius	
ASV_00132		corncob	corncob	corncob	corncob													corncob	Bacteroidia;NS9 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group		
ASV_00133				corncob				corncob										corncob	Alphaproteobacteria;S25-593	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593		
ASV_00134		corncob		corncob			corncob	corncob										corncob	Acidimicrobia;Candidatus Actinomarina	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	
ASV_00136				corncob				corncob	corncob									corncob	Bacteria;Marinimicrobia (SAR406 clade)	Bacteria	Marinimicrobia (SAR406 clade)					
ASV_00138		corncob	corncob	corncob	corncob													corncob	Gammaproteobacteria;BD1-7 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7 clade	
